trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",30,15,-14.883716727578163,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",25,0,-23.255373589919557,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,0,-15.22968624011604,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,0,-3.9443485289917604,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,0,-32.935617013401206,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,14,-3.086595766300187,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,15,15.24190818985551,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,10,18.031526074012426,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,16,8.848855690925486,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,9,13.237193089575216,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,9,19.00073652691163,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",30,3,22.4342726095716,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,9,-19.10220594617648,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,0,30.43661535719091,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,0,10.825383955289421,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",20,3,-18.038642440030653,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",20,0,-34.90222852699908,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",25,3,-19.60136055269208,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,0,24.883636649198724,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,0,-24.315586432564768,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,3,16.473516614554466,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",30,14,28.516578238644875,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,18,12.517112491156919,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,3,12.615371687162586,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",30,12,-54.86457257086115,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,10,11.632083192360156,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",30,7,14.581108055494521,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,9,20.437695607239835,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",25,2,1.3896441983138224,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,8,31.086497916963392,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,3,-1.9292518406112948,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,13,13.543746024436508,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",25,8,27.888733911900466,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,13,12.574281942494107,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",25,20,9.24999059030006,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",20,0,6.011593928704969,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
